GSM274895	549 - mAdbID:65792
GSM274896	553 - mAdbID:65793
GSM274897	689 - mAdbID:65794
GSM274898	704 - mAdbID:65795
GSM274899	694 - mAdbID:65796
GSM274900	756 - mAdbID:65797
GSM274901	547 - mAdbID:65798
GSM274902	841 - mAdbID:65799
GSM274903	745 - mAdbID:65801
GSM274904	747 - mAdbID:65802
GSM274905	674 - mAdbID:65815
GSM274906	742 - mAdbID:65816
GSM274907	565 - mAdbID:65817
GSM274908	688 - mAdbID:65818
GSM274909	572 - mAdbID:65819
GSM274910	744 - mAdbID:65821
GSM274911	711 - mAdbID:65824
GSM274912	695 - mAdbID:65827
GSM274913	701 - mAdbID:66061
GSM274914	872 - mAdbID:66062
GSM274915	1002 - mAdbID:66063
GSM274916	1021 - mAdbID:66064
GSM274917	1023 - mAdbID:66065
GSM274918	1026 - mAdbID:66068
GSM274919	1027 - mAdbID:66069
GSM274920	1031 - mAdbID:66070
GSM274921	1034 - mAdbID:66071
GSM274922	1037 - mAdbID:66072
GSM274923	1038 - mAdbID:66073
GSM274924	304 - mAdbID:66099
GSM274925	415 - mAdbID:66100
GSM274926	538 - mAdbID:66101
GSM274927	617 - mAdbID:66102
GSM274928	434 - mAdbID:66103
GSM274929	459 - mAdbID:66104
GSM274930	470 - mAdbID:66105
GSM274931	492 - mAdbID:66106
GSM274932	1039 - mAdbID:66113
GSM274933	1043 - mAdbID:66114
GSM274934	1045 - mAdbID:66115
GSM274935	1049 - mAdbID:66116
GSM274936	1005 - mAdbID:66132
GSM274937	1008 - mAdbID:66133
GSM274938	305 - mAdbID:66143
GSM274939	529 - mAdbID:66144
GSM274940	537 - mAdbID:66145
GSM274941	663 - mAdbID:66146
GSM274942	668 - mAdbID:66147
GSM274943	669 - mAdbID:66148
GSM274944	672 - mAdbID:66149
GSM274945	687 - mAdbID:66150
GSM274946	810 - mAdbID:66151
GSM274947	860 - mAdbID:66152
GSM274948	807 - mAdbID:66154
GSM274949	874 - mAdbID:66155
GSM274950	809 - mAdbID:66156
GSM274951	412 - mAdbID:66180
GSM274952	424 - mAdbID:66181
GSM274953	428 - mAdbID:66182
GSM274954	432 - mAdbID:66183
GSM274955	433 - mAdbID:66184
GSM274956	438 - mAdbID:66185
GSM274957	446 - mAdbID:66186
GSM274958	477 - mAdbID:66187
GSM274959	479 - mAdbID:66188
GSM274960	482 - mAdbID:66189
GSM274961	523 - mAdbID:66190
GSM274962	517 - mAdbID:66191
GSM274963	524 - mAdbID:66192
GSM274964	616 - mAdbID:66194
GSM274965	618 - mAdbID:66195
GSM274966	623 - mAdbID:66196
GSM274967	835 - mAdbID:66198
GSM274968	481 - mAdbID:66229
GSM274969	619 - mAdbID:66230
GSM274970	626 - mAdbID:66231
GSM274971	627 - mAdbID:66232
GSM274972	660 - mAdbID:66233
GSM274973	661 - mAdbID:66235
GSM274974	839 - mAdbID:66236
GSM274975	462 - mAdbID:66343
GSM274976	543 - mAdbID:66344
GSM274977	550 - mAdbID:66345
GSM274978	577 - mAdbID:66346
GSM274979	633 - mAdbID:66347
GSM274980	678 - mAdbID:66348
GSM274981	692 - mAdbID:66349
GSM274982	698 - mAdbID:66350
GSM274983	730 - mAdbID:66351
GSM274984	700 - mAdbID:66360
GSM274985	702 - mAdbID:66362
GSM274986	731 - mAdbID:66364
GSM274987	749 - mAdbID:66365
GSM274988	753 - mAdbID:66367
GSM274989	758 - mAdbID:66368
GSM274990	792 - mAdbID:66372
GSM274991	795 - mAdbID:66373
GSM274992	797 - mAdbID:66374
GSM274993	832 - mAdbID:66375
GSM274994	836 - mAdbID:66379
GSM274995	996 - mAdbID:66380
GSM274996	779 - mAdbID:66384
GSM274997	912 - mAdbID:66603
GSM274998	541 - mAdbID:67436
GSM274999	645 - mAdbID:67438
GSM275000	533 - mAdbID:67451
GSM275001	644 - mAdbID:67452
GSM275002	652 - mAdbID:67454
GSM275003	800 - mAdbID:67458
GSM275004	818 - mAdbID:67459
GSM275005	821 - mAdbID:67460
GSM275006	847 - mAdbID:67461
GSM275007	681 - mAdbID:67463
GSM275008	803 - mAdbID:67464
GSM275009	995 - mAdbID:67465
GSM275010	1000 - mAdbID:67466
GSM275011	544 - mAdbID:67503
GSM275012	545 - mAdbID:67504
GSM275013	642 - mAdbID:67505
GSM275014	646 - mAdbID:67506
GSM275015	714 - mAdbID:67507
GSM275016	1051 - mAdbID:67508
GSM275017	1055 - mAdbID:67509
GSM275018	1057 - mAdbID:67510
GSM275019	1058 - mAdbID:67511
GSM275020	1060 - mAdbID:67512
GSM275021	1059 - mAdbID:67513
GSM275022	1061 - mAdbID:67514
GSM275023	851 - mAdbID:69963
GSM275024	309 - mAdbID:70372
GSM275025	413 - mAdbID:70373
GSM275026	421 - mAdbID:70374
GSM275027	823 - mAdbID:70375
GSM275028	676 - mAdbID:70376
GSM275029	709 - mAdbID:70377
GSM275030	710 - mAdbID:70378
GSM275031	712 - mAdbID:70379
GSM275032	717 - mAdbID:70380
GSM275033	722 - mAdbID:70381
GSM275034	724 - mAdbID:70382
GSM275035	725 - mAdbID:70383
GSM275036	726 - mAdbID:70384
GSM275037	771 - mAdbID:70385
GSM275038	772 - mAdbID:70386
GSM275039	816 - mAdbID:70387
GSM275040	817 - mAdbID:70388
GSM275041	819 - mAdbID:70389
GSM275042	820 - mAdbID:70390
GSM275043	840 - mAdbID:70391
GSM275044	858 - mAdbID:70392
GSM275045	875 - mAdbID:70393
GSM275046	1009 - mAdbID:70396
GSM275047	306 - mAdbID:73837
GSM275048	310 - mAdbID:73838
GSM275049	458 - mAdbID:73839
GSM275050	449 - mAdbID:73840
GSM275051	460 - mAdbID:73841
GSM275052	491 - mAdbID:73842
GSM275053	528 - mAdbID:73843
GSM275054	615 - mAdbID:73844
GSM275055	625 - mAdbID:73845
GSM275056	664 - mAdbID:73846
GSM275057	682 - mAdbID:73847
GSM275058	671 - mAdbID:73848
GSM275059	683 - mAdbID:74474
GSM275060	684 - mAdbID:74475
GSM275061	748 - mAdbID:74476
GSM275062	751 - mAdbID:74477
GSM275063	808 - mAdbID:74478
GSM275064	831 - mAdbID:74479
GSM275065	834 - mAdbID:74480
GSM275066	838 - mAdbID:74481
GSM275067	854 - mAdbID:74482
GSM275068	855 - mAdbID:74483
GSM275069	856 - mAdbID:74484
GSM275070	1001 - mAdbID:74485
GSM275071	1004 - mAdbID:74486
GSM275072	1007 - mAdbID:74487
GSM275073	1018 - mAdbID:74488
GSM275074	1054 - mAdbID:74489
GSM275075	1041 - mAdbID:74490
GSM275076	1179 - mAdbID:87725
GSM275077	1181 - mAdbID:87727
GSM275078	1184 - mAdbID:87730
GSM275079	1185 - mAdbID:87731
GSM275080	1186 - mAdbID:87732
GSM275081	1187 - mAdbID:87733
GSM275082	1189 - mAdbID:87734
GSM275083	1190 - mAdbID:87735
GSM275084	1211 - mAdbID:87751
GSM275085	1222 - mAdbID:87753
GSM275086	1251 - mAdbID:87758
GSM275087	1252 - mAdbID:87759
GSM275088	1255 - mAdbID:87760
GSM275089	1271 - mAdbID:87761
GSM275090	1272 - mAdbID:87762
GSM275091	1275 - mAdbID:87763
GSM275092	1277 - mAdbID:87765
GSM275093	1279 - mAdbID:87766
GSM275094	1284 - mAdbID:87771
GSM275095	1290 - mAdbID:87774
GSM275096	1291 - mAdbID:87775
GSM275097	104 - mAdbID:87866
GSM275098	106 - mAdbID:87867
GSM275099	113 - mAdbID:87873
GSM275100	114 - mAdbID:87874
GSM275101	115 - mAdbID:87875
GSM275102	118 - mAdbID:87877
GSM275103	119 - mAdbID:87878
GSM275104	1454 - mAdbID:88260
GSM275105	1239 - mAdbID:88272
GSM275106	1173 - mAdbID:88284
GSM275107	1172 - mAdbID:88285
GSM275108	1169 - mAdbID:88287
GSM275109	1167 - mAdbID:88289
